Apex	Slot	Location	Witness
Tangrowth	1	VIRIDIAN	Old tale
Tangrowth	2	FOREST GATE	Scared local
Tangrowth	3	VIRIDIAN FOREST	Flower watcher
Zapdos	1	ROUTE 10	Swimmer
Zapdos	2	POWER PLANT	Engineer
Zapdos	3	POWER PLANT	Engineer
Articuno	1	ROUTE 20	Scout
Articuno	2	ROUTE 20	Sailor
Articuno	3	SEAFOAM	Old man
Mewtwo	1	POKEMON MANSION	Giovanni
Mewtwo	2	SILPH CO.	President
Mewtwo	3	CELADON CAVE	Lance
Osscythe	1	SAFFRON	Rocket
Osscythe	2	LAVENDER	Town local
Osscythe	3	POKEMON TOWER	Mourner
Moltres	1	CINNABAR	Old man
Moltres	2	POKEMON LAB	Scientist
Moltres	3	VOLCANO	Kindler
Mime Sr.	1	DIGLETT CAVE	Cave visitor
Mime Sr.	2	ROUTE 11	Bug Maniac
Mime Sr.	3	DIGLETT CAVE	Cave visitor
Annihilape	1	MT. MOON	Cave visitor
Annihilape	2	CERULEAN	Hiker
Annihilape	3	ROUTE 4	Local
