species,symbol,path,issues,reference
SENTRET,gMonFootprint_Sentret,graphics/pokemon/sentret/footprint.png,,match
FURRET,gMonFootprint_Furret,graphics/pokemon/furret/footprint.png,,match
SUNKERN,gMonFootprint_Sunkern,graphics/pokemon/sunkern/footprint.png,blank (may be correct for footless species),match
SUNFLORA,gMonFootprint_Sunflora,graphics/pokemon/sunflora/footprint.png,,match
HOPPIP,gMonFootprint_Hoppip,graphics/pokemon/hoppip/footprint.png,,match
SKIPLOOM,gMonFootprint_Skiploom,graphics/pokemon/skiploom/footprint.png,,match
JUMPLUFF,gMonFootprint_Jumpluff,graphics/pokemon/jumpluff/footprint.png,,match
BUNEARY,gMonFootprint_Buneary,graphics/pokemon/buneary/footprint.png,,match
LOPUNNY,gMonFootprint_Lopunny,graphics/pokemon/lopunny/footprint.png,,match
NIDORAN_F,gMonFootprint_NidoranF,graphics/pokemon/nidoran_f/footprint.png,,match
NIDORINA,gMonFootprint_Nidorina,graphics/pokemon/nidorina/footprint.png,,match
NIDOQUEEN,gMonFootprint_Nidoqueen,graphics/pokemon/nidoqueen/footprint.png,,match
NIDORAN_M,gMonFootprint_NidoranM,graphics/pokemon/nidoran_m/footprint.png,,match
NIDORINO,gMonFootprint_Nidorino,graphics/pokemon/nidorino/footprint.png,,match
NIDOKING,gMonFootprint_Nidoking,graphics/pokemon/nidoking/footprint.png,,match
PIDGEY,gMonFootprint_Pidgey,graphics/pokemon/pidgey/footprint.png,,match
PIDGEOTTO,gMonFootprint_Pidgeotto,graphics/pokemon/pidgeotto/footprint.png,,match
PIDGEOT,gMonFootprint_Pidgeot,graphics/pokemon/pidgeot/footprint.png,,match
SPEAROW,gMonFootprint_Spearow,graphics/pokemon/spearow/footprint.png,,match
FEAROW,gMonFootprint_Fearow,graphics/pokemon/fearow/footprint.png,,match
HOOTHOOT,gMonFootprint_Hoothoot,graphics/pokemon/hoothoot/footprint.png,,match
NOCTOWL,gMonFootprint_Noctowl,graphics/pokemon/noctowl/footprint.png,,match
STARLY,gMonFootprint_Starly,graphics/pokemon/starly/footprint.png,,match
STARAVIA,gMonFootprint_Staravia,graphics/pokemon/staravia/footprint.png,,match
STARAPTOR,gMonFootprint_Staraptor,graphics/pokemon/staraptor/footprint.png,,match
