checkpoint	object	graphics_id	configured_slot	actual_slot	expected_tag	allocated_tag	dynamic_tag_check
42-route7-north	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
42-route7-north	1	18	15	13	1139	1139	OK
42-route7-north	2	58	5	5	1106	ffff	FIXED_NOT_CHECKED
42-route7-north	3	29	2	2	1103	ffff	FIXED_NOT_CHECKED
42-route7-north	4	198	15	14	112c	112c	OK
42-route7-north	5	22	15	13	1139	1139	OK
43-route7-south	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
43-route7-south	1	40	15	13	1143	1143	OK
43-route7-south	2	202	15	14	1140	1140	OK
43-route7-south	3	198	15	15	112c	112c	OK
44-route9-east	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
44-route9-east	1	24	15	13	1144	1144	OK
44-route9-east	2	39	15	14	1143	1143	OK
44-route9-east	3	40	15	14	1143	1143	OK
45-route9-west	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
45-route9-west	1	56	15	13	1130	1130	OK
46-celadon-trendsetters	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
46-celadon-trendsetters	1	17	3	3	1104	ffff	FIXED_NOT_CHECKED
46-celadon-trendsetters	2	28	5	5	1106	ffff	FIXED_NOT_CHECKED
46-celadon-trendsetters	3	29	2	2	1103	ffff	FIXED_NOT_CHECKED
46-celadon-trendsetters	4	29	2	2	1103	ffff	FIXED_NOT_CHECKED
46-celadon-trendsetters	5	198	15	13	112c	112c	OK
47-ssanne-corridor	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
47-ssanne-corridor	1	62	3	3	1104	ffff	FIXED_NOT_CHECKED
47-ssanne-corridor	2	47	5	5	1106	ffff	FIXED_NOT_CHECKED
48-ssanne-room	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
48-ssanne-room	1	28	5	5	1106	ffff	FIXED_NOT_CHECKED
48-ssanne-room	2	201	15	13	113d	113d	OK
48-ssanne-room	3	198	15	14	112c	112c	OK
48-ssanne-room	4	92	5	5	1106	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	1	62	3	3	1104	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	2	30	5	5	1106	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	3	62	3	3	1104	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	4	62	3	3	1104	ffff	FIXED_NOT_CHECKED
49-ssanne-deck	5	18	15	13	1139	1139	OK
50-power-plant	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
50-power-plant	1	92	5	5	1106	ffff	FIXED_NOT_CHECKED
50-power-plant	2	92	5	5	1106	ffff	FIXED_NOT_CHECKED
50-power-plant	3	187	15	13	1131	1131	OK
50-power-plant	4	26	2	2	113e	ffff	FIXED_NOT_CHECKED
50-power-plant	5	26	2	2	113e	ffff	FIXED_NOT_CHECKED
51-route19-shore	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
51-route19-shore	1	45	5	5	1106	ffff	FIXED_NOT_CHECKED
51-route19-shore	2	43	5	5	1106	ffff	FIXED_NOT_CHECKED
59-route7-walk-start	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
59-route7-walk-start	1	18	15	13	1139	1139	OK
59-route7-walk-start	2	58	5	5	1106	ffff	FIXED_NOT_CHECKED
59-route7-walk-start	3	29	2	2	1103	ffff	FIXED_NOT_CHECKED
59-route7-walk-start	4	198	15	14	112c	112c	OK
59-route7-walk-start	5	22	15	13	1139	1139	OK
60-route7-walk-south	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
60-route7-walk-south	4	198	15	14	112c	112c	OK
60-route7-walk-south	6	40	15	2	1143	ffff	MISMATCH
60-route7-walk-south	7	202	15	2	1140	ffff	MISMATCH
61-route7-walk-north	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
61-route7-walk-north	1	29	2	2	1103	ffff	FIXED_NOT_CHECKED
61-route7-walk-north	2	22	15	13	1139	1139	OK
61-route7-walk-north	3	58	5	5	1106	ffff	FIXED_NOT_CHECKED
61-route7-walk-north	4	198	15	14	112c	112c	OK
61-route7-walk-north	5	18	15	13	1139	1139	OK
62-route7-walk-repeat	0	7	0	0	1110	ffff	FIXED_NOT_CHECKED
62-route7-walk-repeat	4	198	15	14	112c	112c	OK
62-route7-walk-repeat	6	40	15	2	1143	ffff	MISMATCH
62-route7-walk-repeat	7	202	15	2	1140	ffff	MISMATCH
