1	1764	0,0	0,0	Ah, there you are. / Your dedicated work in my LAB / has been much appreciated. / And now, your fieldwork / assignment is about to begin.
2	2112	0,0	0,0	As you know, at the heart of / my research is the relationship / between POKéMON and people...
3	2412	0,0	0,0	...How they grow together / through trust, battle, / friendship... / Even evolution may be shaped / by those bonds.
4	2724	0,0	0,0	But to understand this, you / need to go where they live. / The towns, forests, caves, / shorelines, and old ruins. / I am too old for fieldwork now, / but you are just the right age / for this expedition.
5	3396	0,0	0,0	Now tell me for your / FIELD AIDE record.
6	3588	0,0	0,0	Are you a boy or a girl?
7	3726	0,0	0,0	And how do you spell / your name?
8	4200	0,0	0,0	Right… / AAAAAAA.
9	4380	0,0	0,0	This is my grandson. / Like you, he has been helping / with my research here in / PALLET TOWN. / His name is...
10	5100	0,0	0,0	His name is AAAAAAA?
11	5196	0,0	0,0	Yes. / His name is AAAAAAA. /
12	7134	0,0	0,0	AAAAAAA! / KANTO is waiting beyond the LAB. / Observe carefully, learn directly, / and trust the POKéMON at your side. / Your fieldwork begins now.
13	8406	14,3	14,12	A calm mind earns trust from / even strong outsider POKéMON. / Keep completing PROF. OAK’s / subquests to strengthen that bond.
14	9432	5,1	2,3	GIOVANNI: I chased absolute power / because I mistook control for / strength. / A creature in a vat. / A BALL that never fails. / A command no one could refuse. / But MEWTWO answered control with / defiance. / My own POKéMON answered trust. / You stood before power without / trying to own it. / You trusted your team, and they / trusted you. / That is what I had forgotten. / That is what TEAM ROCKET must / learn. / As of today, TEAM ROCKET changes / course. / No more shadows. / No more conquest. / I will begin again, not as a tyrant, / but as a TRAINER. / Farewell, AAAAAAA.
15	11052	5,1	2,3	The EARTHBADGE is evidence of / your mastery as a TRAINER. / But obedience is earned through / the trust recorded in your / FIELD AIDE work. / With it, you can challenge the / POKéMON LEAGUE. / Go. Your path lies ahead.
16	43938	1,0	5,48	VIRIDIAN FOREST
17	45072	1,0	5,48	ERIKA: Oh! / That ENERGY ROOT is splendid. / See how many tiny roots gather / into one strong whole? / It reminds me that families, / friends, and communities grow / best together. / If I could find one of my own, I / would gladly return to the GYM.
18	45894	1,0	6,48	ERIKA! / I am so glad I found you! / And look, I found an ENERGY ROOT / on the way here. / It was tucked among other roots, / all holding the soil together.
19	46326	1,0	6,48	You’ll need two POKéMON with you / for a DOUBLE BATTLE.
20	47724	1,85	11,9	POKéMON TOWER
21	48282	1,85	11,9	The MARSHBADGE is yours. / You met the tower’s pressure and / answered it with peaceful control. / I will return to SAFFRON GYM. / Come there when you are ready.
22	48732	1,85	11,9	AAAAAAA received the MARSH FINDER / from SABRINA.
23	48906	1,85	11,9	AAAAAAA put the MARSH FINDER / in the KEY ITEMS.
24	49032	1,85	11,9	The MARSH FINDER senses hidden / objects nearby. / A calm mind can notice what the / eyes alone overlook.
25	50244	14,3	14,12	A calm mind earns trust from / even strong outsider POKéMON. / Keep completing PROF. OAK’s / subquests to strengthen that bond.
26	51270	5,1	2,3	GIOVANNI: I chased absolute power / because I mistook control for / strength. / A creature in a vat. / A BALL that never fails. / A command no one could refuse. / But MEWTWO answered control with / defiance. / My own POKéMON answered trust. / You stood before power without / trying to own it. / You trusted your team, and they / trusted you. / That is what I had forgotten. / That is what TEAM ROCKET must / learn. / As of today, TEAM ROCKET changes / course. / No more shadows. / No more conquest. / I will begin again, not as a tyrant, / but as a TRAINER. / Farewell, AAAAAAA.
27	52884	5,1	2,3	The EARTHBADGE is evidence of / your mastery as a TRAINER. / But obedience is earned through / the trust recorded in your / FIELD AIDE work. / With it, you can challenge the / POKéMON LEAGUE. / Go. Your path lies ahead.
