TRAINER_LEADER_GIOVANNI	1	SPADE	SPADE	PASS
TRAINER_LEADER_GIOVANNI	2	TRIO	TRIO	PASS
TRAINER_LEADER_GIOVANNI	3	KEEPSAKE	KEEPSAKE	PASS
TRAINER_LEADER_GIOVANNI	4	REGINA	REGINA	PASS
TRAINER_LEADER_GIOVANNI	5	REX	REX	PASS
TRAINER_LEADER_GIOVANNI	6	BASTION	BASTION	PASS
TRAINER_LEADER_BROCK_1	1	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_1	2	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_2	1	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_2	2	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_2	3	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_3	1	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_3	2	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_3	3	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_4	1	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_4	2	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_4	3	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_4	4	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_5	1	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_5	2	SPIRAL	SPIRAL	PASS
TRAINER_LEADER_BROCK_5	3	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_5	4	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_5	5	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_6	1	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_BROCK_6	2	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_6	3	SPIRAL	SPIRAL	PASS
TRAINER_LEADER_BROCK_6	4	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_6	5	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_7	1	PICKLE	PICKLE	PASS
TRAINER_LEADER_BROCK_7	2	FLINT	FLINT	PASS
TRAINER_LEADER_BROCK_7	3	SPIRAL	SPIRAL	PASS
TRAINER_LEADER_BROCK_7	4	CHISEL	CHISEL	PASS
TRAINER_LEADER_BROCK_7	5	CHIP	CHIP	PASS
TRAINER_LEADER_BROCK_7	6	PEBBLE	PEBBLE	PASS
TRAINER_LEADER_MISTY_1	1	TWINKLE	TWINKLE	PASS
TRAINER_LEADER_MISTY_1	2	BEACON	BEACON	PASS
TRAINER_LEADER_MISTY_2	1	BEACON	BEACON	PASS
TRAINER_LEADER_MISTY_2	2	PUDDLES	PUDDLES	PASS
TRAINER_LEADER_MISTY_2	3	TWINKLE	TWINKLE	PASS
TRAINER_LEADER_MISTY_3	1	TWINKLE	TWINKLE	PASS
TRAINER_LEADER_MISTY_3	2	PUDDLES	PUDDLES	PASS
TRAINER_LEADER_MISTY_3	3	BEACON	BEACON	PASS
TRAINER_LEADER_MISTY_4	1	TWINKLE	TWINKLE	PASS
TRAINER_LEADER_MISTY_4	2	BEACON	BEACON	PASS
