species,active_pokedex,height,pokemonScale,pokemonOffset,trainerScale,trainerOffset,red_height_ratio,red_baseline_gap_px,leaf_height_ratio,leaf_baseline_gap_px,issues
BULBASAUR,True,7,356,16,256,-2,0.431,-1.5,0.431,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
IVYSAUR,True,10,332,11,256,-2,0.589,-1.0,0.589,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VENUSAUR,True,20,256,1,375,6,1.438,1.8,1.438,1.8,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHARMANDER,True,6,410,16,256,-2,0.443,-1.1,0.443,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHARMELEON,True,11,294,8,256,-2,0.744,-1.0,0.744,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CHARIZARD,True,17,271,0,317,3,1.319,1.2,1.319,1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SQUIRTLE,True,5,412,16,256,-2,0.407,-0.6,0.407,-0.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WARTORTLE,True,10,334,9,256,-2,0.641,-2.4,0.641,-2.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BLASTOISE,True,16,256,1,329,3,1.238,0.9,1.238,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CATERPIE,True,3,549,20,256,-2,0.271,-1.5,0.271,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
METAPOD,True,7,350,18,256,-2,0.332,-2.2,0.332,-2.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BUTTERFREE,True,11,312,2,256,-2,0.641,-8.1,0.641,-8.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WEEDLE,True,3,455,19,256,-2,0.286,-1.6,0.286,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
KAKUNA,True,6,424,14,256,-2,0.384,-4.1,0.384,-4.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
BEEDRILL,True,10,366,2,256,-2,0.585,-10.9,0.585,-10.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PIDGEY,True,3,492,18,256,-2,0.35,-1.1,0.35,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PIDGEOTTO,True,11,334,11,256,-2,0.725,1.2,0.725,1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PIDGEOT,True,15,269,-2,256,-2,1.055,-1.5,1.055,-1.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RATTATA,True,3,481,18,256,-2,0.339,-1.4,0.339,-1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RATICATE,True,7,401,14,256,-2,0.406,-1.6,0.406,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SPEAROW,True,3,571,19,256,-2,0.302,-1.0,0.302,-1.0,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
FEAROW,True,12,282,-1,272,-2,1.122,0.9,1.122,0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
EKANS,True,20,298,13,256,-2,0.578,-1.4,0.578,-1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
ARBOK,True,35,256,0,296,1,1.219,1.2,1.219,1.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
PIKACHU,True,4,479,16,256,-2,0.476,-0.7,0.476,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
RAICHU,True,8,426,10,256,-2,0.656,0.2,0.656,0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SANDSHREW,True,6,370,15,256,-2,0.465,0.5,0.465,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
SANDSLASH,True,10,341,10,256,-2,0.682,0.5,0.682,0.5,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDORAN_F,True,4,488,19,256,-2,0.305,-1.6,0.305,-1.6,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDORINA,True,8,381,13,256,-2,0.513,-1.9,0.513,-1.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDOQUEEN,True,13,283,2,256,-2,0.937,0.1,0.937,0.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDORAN_M,True,5,480,17,256,-2,0.339,-1.3,0.339,-1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDORINO,True,9,408,13,256,-2,0.536,-0.9,0.536,-0.9,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NIDOKING,True,14,304,3,323,2,1.12,1.7,1.12,1.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLEFAIRY,True,6,425,18,256,-2,0.361,-1.4,0.361,-1.4,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
CLEFABLE,True,13,256,3,272,-1,0.908,-0.2,0.908,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
VULPIX,True,6,497,18,256,-2,0.365,-0.7,0.365,-0.7,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
NINETALES,True,11,339,6,256,-2,0.769,-1.1,0.769,-1.1,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
JIGGLYPUFF,True,5,419,19,256,-2,0.367,-0.2,0.367,-0.2,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
WIGGLYTUFF,True,10,328,9,256,-2,0.71,-1.3,0.71,-1.3,red silhouette crosses size panel interior; leaf silhouette crosses size panel interior
